trial,log_loss,xgb_depth,xgb_lr,lgb_num_leaves,lgb_lr
218,0.35873656187548236,3,0.2242941877323271,133,0.020753583485499886
219,0.36111833606565424,3,0.19141661915252586,131,0.02099017189235275
220,0.35939419824175567,3,0.21834630337202063,153,0.02346137312498541
221,0.35889388855086346,3,0.24655991716431505,143,0.020239587530154896
222,0.36001377225277587,3,0.22984873716061435,137,0.02027646316711258
223,0.360201321549588,3,0.24489576944042254,124,0.02259226920064064
224,0.3733255997684202,3,0.20960580850078905,145,0.018559480089929813
225,0.3597465697883731,3,0.2451406785261131,157,0.02179614288006721
226,0.35992307024123654,3,0.22482455091009546,123,0.020558803489334417
227,0.35939526660152826,3,0.26193894496212783,143,0.018119076482938305
228,0.35923062682721124,3,0.26554895856705896,149,0.02517136708777718
229,0.35895961556086736,3,0.23414419952898904,151,0.02454024623716733
230,0.35938252947098903,3,0.24841990216359913,150,0.025598181863386683
231,0.3598888403901588,3,0.23548083646839074,151,0.023828322728398594
232,0.35902585552051247,3,0.21820008294602133,163,0.022435120501165324
233,0.3594151040193254,3,0.20082429402828672,164,0.022521640528294563
234,0.35998515260535974,3,0.21411619245054533,160,0.02610806170055226
235,0.3599376660944762,3,0.26451763469979267,147,0.02502691774103337
236,0.36006415923033164,3,0.24729885934094176,133,0.02189508998050054
237,0.35938362365281135,3,0.269300507612912,155,0.01996713947449841
238,0.3599991577143105,3,0.22132831964064983,160,0.02406000463473171
239,0.3591903120119559,3,0.18173898155618964,141,0.02892571882353447
240,0.3592855780433885,3,0.19358383849750935,143,0.03313591383578024
241,0.35975682424766436,3,0.17204406016215648,148,0.028880756024786097
242,0.3597404605123879,3,0.17664701692508136,151,0.021209067461779845
243,0.35988299289461245,3,0.23543840542967848,142,0.027331107406189492
244,0.3592440560411122,3,0.2546931694689452,164,0.02227519755213008
245,0.3597524595002516,3,0.1844681338288346,139,0.0198935327970692
246,0.35974498288177764,3,0.20322758180258488,156,0.02450556454403626
247,0.35982183761047515,3,0.2698585618570299,135,0.023094409679411093
248,0.3596154647784302,3,0.23789395405459196,146,0.02112879872936162
249,0.3592412192357558,3,0.1573665432724397,151,0.019753839472407705
250,0.35875206597892567,3,0.2519164003991128,156,0.026118801980819444
251,0.36123812562650204,3,0.22170045276115252,167,0.028461994015166296
252,0.35989437802611945,3,0.24800821732194472,157,0.030334129964983553
253,0.36006895771420483,3,0.21819870796608462,154,0.022597052236620188
254,0.3594331753805895,3,0.2316571179936049,91,0.019327151662564573
255,0.35994665501012546,3,0.2805180715686223,161,0.02641138338337248
256,0.3601384690879142,3,0.2497060601647105,137,0.020827723715479526
257,0.35966414067368374,3,0.20925789528960806,126,0.023560599478386676
258,0.3599501308266768,3,0.256441812950298,159,0.01883197055635174
259,0.36103662632981587,3,0.2840985919765884,146,0.021854643638261676
260,0.36173407434766147,3,0.22801998586581915,153,0.017724514933504285
261,0.35982378406332455,3,0.24341921298587127,153,0.019851490326877747
262,0.3587897362388636,3,0.1904759067125638,167,0.021006529702824753
263,0.35962379081816476,3,0.1829454806701277,174,0.020969985043409013
264,0.359286592752352,3,0.17042657675945297,166,0.022770537114828012
265,0.35962046868902403,3,0.20538673280235925,163,0.026261422644488837
266,0.3610701688556045,3,0.18947327635839778,167,0.020722093659556944
267,0.3596559359293069,3,0.20106826774495895,176,0.02418709761590402
268,0.360064536327631,3,0.2685788081821085,142,0.033417565014198125
269,0.369828227672532,10,0.21232665171731213,159,0.018535370581730475
270,0.36141763877565936,3,0.19025012831001292,146,0.02207207337737031
271,0.3599115921490705,3,0.23127903885008974,140,0.15502767392298333
272,0.3591346262526366,3,0.2825015331706733,129,0.019415628089642912
273,0.359345155535665,3,0.2853915238386048,120,0.01961519525198537
274,0.36003598916281404,3,0.2685182291480484,134,0.01856014113954469
275,0.35925763839648894,3,0.2846145031171907,133,0.02045469771868319
276,0.3681193310172631,9,0.2568614854773743,128,0.01749194155742026
277,0.3616143085861595,3,0.2981970409209463,191,0.023209931246480388
278,0.3591306910266383,3,0.24393071798370514,157,0.021832139368940143
279,0.3591451493064362,3,0.26277098572251156,163,0.02173706841965407
280,0.3608725858720687,4,0.26444178200644686,169,0.021583838013460595
281,0.35945665136761557,3,0.24938899895767697,163,0.019454201676731665
282,0.3604569818023382,3,0.27383951872623574,156,0.020897938444783642
283,0.35934096950772665,3,0.23869778754809948,164,0.02225902052229005
284,0.35933600055717574,3,0.2592916031790664,150,0.01776121492277367
285,0.3594883828399661,3,0.28210587425156103,171,0.01928673323860258
286,0.360335658233482,3,0.23595744295659873,115,0.020755505605829408
287,0.35950818042679666,3,0.29996103515894385,161,0.02286984282268284
288,0.36165574133344447,4,0.2534809200444003,155,0.020035681212671144
289,0.35998383385877686,3,0.2702873645930047,174,0.021780690711250217
290,0.36021073582780705,3,0.2253153362590413,167,0.023975322779906345
291,0.35916902171135623,3,0.24468475568081755,150,0.01847571331887067
292,0.35988247337263657,3,0.2604178288310323,183,0.017174479890318863
293,0.35988571985374196,3,0.2808680245716363,158,0.020805549331951667
294,0.36590371521172094,3,0.2276748312356853,201,0.01921730619612837
295,0.36080037949896293,3,0.24811897300502062,179,0.022326683488280305
296,0.36037546169799645,3,0.26746908642901485,147,0.024191021077741393
297,0.36035586963619987,3,0.23588250418670859,161,0.11773183636520168
298,0.3615072762103256,3,0.2193256250506052,153,0.019864955550296267
299,0.3594663338394979,3,0.2786519894206247,31,0.02145842423465731
300,0.3594420786054931,3,0.24809872355236492,128,0.017018292008430965
